Date,Open,High,Low,Close,Adj Close,Volume
2013-08-23,16.250000,16.250000,16.250000,16.250000,16.250000,0
2013-08-26,16.240000,16.240000,16.240000,16.240000,16.240000,0
2013-08-27,15.576667,15.576667,15.576667,15.576667,15.576667,0
2013-08-28,15.710000,15.710000,15.710000,15.710000,15.710000,0
2013-08-29,15.926666,15.926666,15.926666,15.926666,15.926666,0
2013-08-30,15.726666,15.726666,15.726666,15.726666,15.726666,0
2013-09-03,15.903333,15.903333,15.903333,15.903333,15.903333,0
2013-09-04,16.243334,16.243334,16.243334,16.243334,16.243334,0
2013-09-05,16.296667,16.296667,16.296667,16.296667,16.296667,0
2013-09-06,16.333334,16.333334,16.333334,16.333334,16.333334,0
2013-09-09,16.710001,16.710001,16.710001,16.710001,16.710001,0
2013-09-10,16.870001,16.870001,16.870001,16.870001,16.870001,0
2013-09-11,16.816668,16.816668,16.816668,16.816668,16.816668,0
2013-09-12,16.773333,16.773333,16.773333,16.773333,16.773333,0
2013-09-13,16.800001,16.800001,16.800001,16.800001,16.800001,0
2013-09-16,16.696667,16.696667,16.696667,16.696667,16.696667,0
2013-09-17,16.926666,16.926666,16.926666,16.926666,16.926666,0
2013-09-18,17.350000,17.350000,17.350000,17.350000,17.350000,0
2013-09-19,17.416666,17.416666,17.416666,17.416666,17.416666,0
2013-09-20,17.283333,17.283333,17.283333,17.283333,17.283333,0
2013-09-23,17.223333,17.223333,17.223333,17.223333,17.223333,0
2013-09-24,17.213333,17.213333,17.213333,17.213333,17.213333,0
2013-09-25,17.106667,17.106667,17.106667,17.106667,17.106667,0
2013-09-26,17.373333,17.373333,17.373333,17.373333,17.373333,0
2013-09-27,17.333334,17.333334,17.333334,17.333334,17.333334,0
2013-09-30,17.210001,17.210001,17.210001,17.210001,17.210001,0
2013-10-01,17.583334,17.583334,17.583334,17.583334,17.583334,0
2013-10-02,17.580000,17.580000,17.580000,17.580000,17.580000,0
2013-10-03,17.156668,17.156668,17.156668,17.156668,17.156668,0
2013-10-04,17.460001,17.460001,17.460001,17.460001,17.460001,0
2013-10-07,17.166666,17.166666,17.166666,17.166666,17.166666,0
2013-10-08,16.506666,16.506666,16.506666,16.506666,16.506666,0
2013-10-09,16.389999,16.389999,16.389999,16.389999,16.389999,0
2013-10-10,17.096666,17.096666,17.096666,17.096666,17.096666,0
2013-10-11,17.350000,17.350000,17.350000,17.350000,17.350000,0
2013-10-14,17.590000,17.590000,17.590000,17.590000,17.590000,0
2013-10-15,17.463333,17.463333,17.463333,17.463333,17.463333,0
2013-10-16,17.856667,17.856667,17.856667,17.856667,17.856667,0
2013-10-17,18.063334,18.063334,18.063334,18.063334,18.063334,0
2013-10-18,18.646666,18.646666,18.646666,18.646666,18.646666,0
2013-10-21,18.719999,18.719999,18.719999,18.719999,18.719999,0
2013-10-22,18.780001,18.780001,18.780001,18.780001,18.780001,0
2013-10-23,18.553333,18.553333,18.553333,18.553333,18.553333,0
2013-10-24,18.726667,18.726667,18.726667,18.726667,18.726667,0
2013-10-25,18.969999,18.969999,18.969999,18.969999,18.969999,0
2013-10-28,18.966667,18.966667,18.966667,18.966667,18.966667,0
2013-10-29,19.053333,19.053333,19.053333,19.053333,19.053333,0
2013-10-30,18.990000,18.990000,18.990000,18.990000,18.990000,0
2013-10-31,18.906668,18.906668,18.906668,18.906668,18.906668,0
2013-11-01,18.920000,18.920000,18.920000,18.920000,18.920000,0
2013-11-04,18.973333,18.973333,18.973333,18.973333,18.973333,0
2013-11-05,19.030001,19.030001,19.030001,19.030001,19.030001,0
2013-11-06,19.013334,19.013334,19.013334,19.013334,19.013334,0
2013-11-07,18.296667,18.296667,18.296667,18.296667,18.296667,0
2013-11-08,18.793333,18.793333,18.793333,18.793333,18.793333,0
2013-11-11,18.743334,18.743334,18.743334,18.743334,18.743334,0
2013-11-12,18.780001,18.780001,18.780001,18.780001,18.780001,0
2013-11-13,19.236666,19.236666,19.236666,19.236666,19.236666,0
2013-11-14,19.340000,19.340000,19.340000,19.340000,19.340000,0
2013-11-15,19.430000,19.430000,19.430000,19.430000,19.430000,0
2013-11-18,19.046667,19.046667,19.046667,19.046667,19.046667,0
2013-11-19,18.943335,18.943335,18.943335,18.943335,18.943335,0
2013-11-20,18.833334,18.833334,18.833334,18.833334,18.833334,0
2013-11-21,19.226667,19.226667,19.226667,19.226667,19.226667,0
2013-11-22,19.443335,19.443335,19.443335,19.443335,19.443335,0
2013-11-25,19.510000,19.510000,19.510000,19.510000,19.510000,0
2013-11-26,19.723333,19.723333,19.723333,19.723333,19.723333,0
2013-11-27,20.000000,20.000000,20.000000,20.000000,20.000000,0
2013-11-29,20.210001,20.210001,20.210001,20.210001,20.210001,0
2013-12-02,20.116667,20.116667,20.116667,20.116667,20.116667,0
2013-12-03,20.090000,20.090000,20.090000,20.090000,20.090000,0
2013-12-04,20.129999,20.129999,20.129999,20.129999,20.129999,0
2013-12-05,20.073334,20.073334,20.073334,20.073334,20.073334,0
2013-12-06,20.370001,20.370001,20.370001,20.370001,20.370001,0
2013-12-09,20.513334,20.513334,20.513334,20.513334,20.513334,0
2013-12-10,20.486666,20.486666,20.486666,20.486666,20.486666,0
2013-12-11,19.963333,19.963333,19.963333,19.963333,19.963333,0
2013-12-12,19.860001,19.860001,19.860001,19.860001,19.860001,0
2013-12-13,19.809999,19.809999,19.809999,19.809999,19.809999,0
2013-12-16,20.030001,20.030001,20.030001,20.030001,20.030001,0
2013-12-17,19.949999,19.949999,19.949999,19.949999,19.949999,0
2013-12-18,20.413334,20.413334,20.413334,20.413334,20.413334,0
2013-12-19,20.286667,20.286667,20.286667,20.286667,20.286667,0
2013-12-20,20.666666,20.666666,20.666666,20.666666,20.666666,0
2013-12-23,21.110001,21.110001,21.110001,21.110001,21.110001,0
2013-12-24,21.150000,21.150000,21.150000,21.150000,21.150000,0
2013-12-26,21.283333,21.283333,21.283333,21.283333,21.283333,0
2013-12-27,21.166666,21.166666,21.166666,21.166666,21.166666,0
2013-12-30,21.113333,21.113333,21.113333,21.113333,21.113333,0
2013-12-31,21.376665,21.376665,21.376665,21.376665,21.376665,0
2014-01-02,21.039999,21.039999,21.039999,21.039999,21.039999,0
2014-01-03,20.740000,20.740000,20.740000,20.740000,20.740000,0
2014-01-06,20.593332,20.593332,20.593332,20.593332,20.593332,0
2014-01-07,20.953333,20.953333,20.953333,20.953333,20.953333,0
2014-01-08,21.066668,21.066668,21.066668,21.066668,21.066668,0
2014-01-09,20.896666,20.896666,20.896666,20.896666,20.896666,0
2014-01-10,21.039999,21.039999,21.039999,21.039999,21.039999,0
2014-01-13,20.413334,20.413334,20.413334,20.413334,20.413334,0
